City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Zhigansk,RU,66.7697,123.3711,-8.36,98,100,15.84,light snow
79,Chimoio,MZ,-19.1164,33.4833,75.06,69,75,14.97,broken clouds
80,Pangody,RU,65.85,74.4859,12.74,95,100,13.27,light snow
81,De Aar,ZA,-30.6497,24.0123,90.36,11,0,7.4,clear sky
82,Bairiki,KI,1.3292,172.9752,80.6,78,20,10.36,few clouds
83,Atuona,PF,-9.8,-139.0333,77.88,80,75,18.48,broken clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,40,16.11,scattered clouds
85,Kishtwar,IN,33.3167,75.7667,37.9,93,100,0.27,overcast clouds
86,Garden City,US,42.3256,-83.331,19.22,75,100,4.0,overcast clouds
87,Upernavik,GL,72.7868,-56.1549,-8.07,70,94,4.36,overcast clouds
88,Quatre Cocos,MU,-20.2078,57.7625,84.31,80,14,10.74,few clouds
89,Tasiilaq,GL,65.6145,-37.6368,12.36,51,16,12.19,few clouds
90,Morristown,US,36.214,-83.2949,30.22,69,100,0.0,overcast clouds
91,Pano Aqil,PK,27.8569,69.1116,58.89,25,4,10.0,clear sky
92,Prince Albert,CA,53.2001,-105.7677,-4.05,77,75,6.91,broken clouds
93,Libertador General San Martin,AR,-23.8064,-64.7876,87.98,44,32,5.06,scattered clouds
94,Gizo,SB,-8.103,156.8419,83.23,76,99,9.53,light rain
95,Takhatpur,IN,22.15,81.8667,70.11,42,64,1.54,broken clouds
96,Saldanha,ZA,-33.0117,17.9442,76.78,57,35,13.65,scattered clouds
97,Provideniya,RU,64.3833,-173.3,7.27,94,100,17.09,light snow
98,Saskylakh,RU,71.9167,114.0833,10.17,94,97,9.6,overcast clouds
99,Bambous Virieux,MU,-20.3428,57.7575,84.45,79,75,16.11,broken clouds
100,Medea,DZ,36.2642,2.7539,46.85,56,63,3.36,broken clouds
101,Tabou,CI,4.423,-7.3528,83.97,57,0,10.56,clear sky
102,Kavieng,PG,-2.5744,150.7967,82.17,73,93,4.29,overcast clouds
103,Dunedin,NZ,-45.8742,170.5036,57.79,73,61,11.01,broken clouds
104,Eden,US,36.4885,-79.7667,25.86,42,0,4.61,clear sky
105,Bethel,US,41.3712,-73.414,22.01,66,3,1.01,clear sky
106,Praxedis Guerrero,MX,31.3667,-106.0167,41.29,52,0,16.31,clear sky
107,Pisco,PE,-13.7,-76.2167,71.65,78,0,6.91,clear sky
108,Kununurra,AU,-15.7667,128.7333,80.58,94,100,5.75,overcast clouds
109,Key Largo,US,25.0865,-80.4473,72.01,82,100,9.15,overcast clouds
110,Qaanaaq,GL,77.484,-69.3632,-2.99,98,100,1.14,overcast clouds
111,Lokhvytsya,UA,50.3678,33.2602,20.79,94,98,5.91,overcast clouds
112,Parana,AR,-31.732,-60.5238,98.51,48,2,13.04,clear sky
113,Kukurecani,MK,41.0956,21.3256,34.38,78,5,1.86,clear sky
114,Nome,US,64.5011,-165.4064,21.27,86,100,14.97,mist
115,Fortuna,US,40.5982,-124.1573,46.74,93,0,8.05,clear sky
116,Luangwa,ZM,-15.6167,30.4167,83.07,58,7,4.29,clear sky
117,Barceloneta,PR,18.4505,-66.5385,84.47,76,8,10.78,clear sky
118,Castro,BR,-24.7911,-50.0119,80.06,63,3,2.17,clear sky
119,Port Lincoln,AU,-34.7333,135.8667,67.66,97,33,7.7,scattered clouds
120,Fort-Shevchenko,KZ,44.5086,50.263,39.02,79,81,25.84,broken clouds
121,Gisborne,NZ,-38.6533,178.0042,61.95,89,2,6.4,clear sky
122,Chokurdakh,RU,70.6333,147.9167,-19.48,97,99,6.71,overcast clouds
123,Daoukro,CI,7.0591,-3.9631,98.37,11,0,4.14,clear sky
124,Zamora,EC,-4.0692,-78.9567,76.24,83,74,2.8,light rain
125,Tual,ID,-5.6667,132.75,82.96,75,88,16.67,overcast clouds
126,Huejuquilla El Alto,MX,22.6,-103.8667,52.09,53,5,1.66,clear sky
127,Derzhavinsk,KZ,51.1,66.3167,8.87,89,100,8.01,overcast clouds
128,Diego De Almagro,CL,-26.3667,-70.05,77.47,32,0,8.3,clear sky
129,Tura,IN,25.5198,90.2201,57.79,61,56,3.78,broken clouds
130,Plettenberg Bay,ZA,-34.0527,23.3716,79.74,64,57,15.61,broken clouds
131,Umiray,PH,15.2206,121.4111,75.78,90,99,8.79,overcast clouds
132,Fukue,JP,32.6881,128.8419,52.84,86,100,13.0,light rain
133,Altay,CN,47.8667,88.1167,6.15,74,36,6.82,scattered clouds
134,Kahului,US,20.8947,-156.47,73.85,80,0,16.11,clear sky
135,Mimongo,GA,-1.6195,11.6068,84.96,53,73,2.17,light rain
136,Sibolga,ID,1.7427,98.7792,77.02,87,90,3.47,overcast clouds
137,Iqaluit,CA,63.7506,-68.5145,2.93,78,100,23.02,light snow
138,Port Alfred,ZA,-33.5906,26.891,78.89,65,0,30.82,clear sky
139,Ponta Do Sol,PT,32.6667,-17.1,68.0,66,25,6.96,scattered clouds
140,Kisanga,TZ,-7.4362,37.7034,79.81,87,88,3.83,moderate rain
141,Izmit,TR,40.7669,29.9169,37.26,88,75,3.44,shower snow
142,Macamic,CA,48.7502,-78.9996,12.43,91,100,18.21,light snow
143,Wajir,KE,1.7471,40.0573,91.38,20,100,16.8,overcast clouds
144,Kewanee,US,41.2456,-89.9248,22.32,80,62,13.18,broken clouds
145,Morro Bay,US,35.3658,-120.8499,52.34,73,98,1.99,overcast clouds
146,Conakry,GN,9.538,-13.6773,94.35,33,0,6.91,haze
147,Savannah Bight,HN,16.45,-85.85,80.01,77,2,8.34,clear sky
148,Pierre,US,44.3683,-100.351,23.05,77,75,8.01,broken clouds
149,Vanavara,RU,60.34,102.2797,-13.81,100,96,2.15,overcast clouds
150,Camopi,GF,3.1655,-52.3158,84.29,67,91,3.04,overcast clouds
151,Sakakah,SA,29.9697,40.2064,60.37,32,0,8.79,clear sky
152,Yulara,AU,-25.2406,130.9889,85.84,45,100,8.05,overcast clouds
153,San Cristobal,VE,7.7669,-72.225,71.78,43,69,4.61,broken clouds
154,Victoria Point,AU,-27.5833,153.3,69.94,92,4,8.66,clear sky
155,Faya,SA,18.3851,42.4509,60.91,58,1,7.36,clear sky
156,Avarua,CK,-21.2078,-159.775,75.25,94,40,14.97,haze
157,Jiuquan,CN,39.7432,98.5174,26.11,46,2,4.97,clear sky
158,Pilar,BR,-9.5972,-35.9567,89.53,38,8,10.67,clear sky
159,Muros,ES,42.7762,-9.0603,58.98,43,0,0.72,clear sky
160,Ritchie,ZA,-29.038,24.6028,87.01,19,3,9.42,clear sky
161,Berezovyy,RU,51.6667,135.7,-14.66,98,46,2.82,scattered clouds
162,Beckley,US,37.7782,-81.1882,19.29,92,100,5.75,overcast clouds
163,Grand Gaube,MU,-20.0064,57.6608,84.6,81,13,10.0,few clouds
164,Gravdal,NO,68.1214,13.5031,42.69,70,75,21.85,light rain
165,Kismayo,SO,-0.3582,42.5454,80.19,75,100,16.64,overcast clouds
166,Jizan,SA,17.3333,42.6667,83.34,57,16,10.36,few clouds
167,Butaritari,KI,3.0707,172.7902,81.1,74,72,15.79,broken clouds
168,Guerrero Negro,MX,27.9769,-114.0611,57.07,85,0,2.95,clear sky
